Admiration,0.5,0.3,-0.2,+P,+A,-D,Dependent
Anger,-0.51,0.59,0.25,-P,+A,+D,Hostile
Disliking,-0.4,0.2,0.1,-P,+A,+D,Hostile
Disappointment,-0.3,0.1,-0.4,-P,+A,-D,Anxious
Distress,-0.4,-0.2,-0.5,-P,-A,-D,Bored
Fear,-0.64,0.60,-0.43,-P,+A,-D,Anxious
FearsConfirmed,-0.5,-0.3,-0.7,-P,-A,-D,Bored
Gloating,0.3,-0.3,-0.1,+P,-A,-D,Docile
Gratification,0.6,0.5,0.4,+P,+A,+D,Exuberant
Gratitude,0.4,0.2,-0.3,+P,+A,-D,Dependent
HappyFor,0.4,0.2,0.2,+P,+A,+D,Exuberant
Hate,-0.6,0.6,0.3,-P,+A,+D,Hostile
Hope,0.2,0.2,-0.1,+P,+A,-D,Dependent
Joy,0.4,0.2,0.1,+P,+A,+D,Exuberant
Liking,0.4,0.16,-0.24,+P,+A,-D,Dependent
Love,0.3,0.1,0.2,+P,+A,+D,Exuberant
Pity,-0.4,-0.2,-0.5,-P,-A,-D,Bored
Pride,0.4,0.3,0.3,+P,+A,+D,Exuberant
Relief,0.2,-0.3,0.4,+P,-A,+D,Relaxed
Remorse,-0.3,0.1,-0.6,-P,+A,-D,Anxious
Reproach,-0.3,-0.1,0.4,-P,-A,+D,Disdainful
Resentment,-0.2,-0.3,-0.2,-P,-A,-D,Bored
Satisfaction,0.3,-0.2,0.4,+P,-A,+D,Relaxed
Shame,-0.3,0.1,-0.6,-P,+A,-D,Anxious
